run_id,frame,elapsed_seconds,simulation_time,round_number,paused,ai_enabled,ai_mode,ai_last_action,manual_override,root_tip_count,active_tip_count,root_segment_count,branch_count,attachment_count,detach_count,collision_count,wrap_count,mark_count,spill_count,transfer_count,absorption_events,total_absorbed,water_remaining,depleted_water_pockets,droplet_count,fragment_count,nearest_water_x,nearest_water_y,nearest_water_z,lead_tip_x,lead_tip_y,lead_tip_z,lead_tip_dir_x,lead_tip_dir_y,lead_tip_dir_z,lead_tip_radius,active_rock_wrap_scores,stagnation_seconds,completion_seconds
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,337,10.944,11.233,1,0,1,ritual_wrap,switch_to_ritual_wrap,0,22,0,1250,17,17,0,0,0,133,0,380,380,3.68380,3.91215,3,0,0,2.0599,-1.1448,1.9987,1.7654,-4.2945,1.8181,0.4114,-0.3000,-0.8607,0.14136,0.00000,2.067,0.067
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,345,11.211,11.500,1,0,1,ritual_wrap,switch_to_ritual_wrap,0,23,0,1250,17,17,0,0,0,133,0,380,380,3.68380,3.91215,3,0,0,2.0599,-1.1448,1.9987,1.7654,-4.2945,1.8181,0.4114,-0.3000,-0.8607,0.14136,0.00000,3.100,0.000
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,353,11.478,11.767,1,0,1,ritual_wrap,switch_to_ritual_wrap,0,23,0,1250,17,17,0,0,0,133,0,380,380,3.68380,3.91215,3,0,0,2.0599,-1.1448,1.9987,1.7654,-4.2945,1.8181,0.4114,-0.3000,-0.8607,0.14136,0.00000,3.100,0.267
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,361,11.745,12.033,1,0,1,ritual_wrap,switch_to_ritual_wrap,0,23,0,1250,17,17,0,0,0,133,0,380,380,3.68380,3.91215,3,0,0,2.0599,-1.1448,1.9987,1.7654,-4.2945,1.8181,0.4114,-0.3000,-0.8607,0.14136,0.00000,3.100,0.533
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,369,12.012,12.300,1,0,1,ritual_wrap,switch_to_ritual_wrap,0,23,0,1250,17,17,0,0,0,133,0,380,380,3.68380,3.91215,3,0,0,2.0599,-1.1448,1.9987,1.7654,-4.2945,1.8181,0.4114,-0.3000,-0.8607,0.14136,0.00000,3.100,0.800
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,377,12.278,12.567,1,0,1,ritual_wrap,switch_to_ritual_wrap,0,23,0,1250,17,17,0,0,0,133,0,380,380,3.68380,3.91215,3,0,0,2.0599,-1.1448,1.9987,1.7654,-4.2945,1.8181,0.4114,-0.3000,-0.8607,0.14136,0.00000,4.133,1.067
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,385,12.545,12.833,1,0,1,ritual_wrap,switch_to_ritual_wrap,0,23,0,1250,17,17,0,0,0,133,0,380,380,3.68380,3.91215,3,0,0,2.0599,-1.1448,1.9987,1.7654,-4.2945,1.8181,0.4114,-0.3000,-0.8607,0.14136,0.00000,4.133,1.333
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,393,12.812,13.100,1,0,1,ritual_wrap,switch_to_ritual_wrap,0,23,0,1250,17,17,0,0,0,133,0,380,380,3.68380,3.91215,3,0,0,2.0599,-1.1448,1.9987,1.7654,-4.2945,1.8181,0.4114,-0.3000,-0.8607,0.14136,0.00000,4.133,1.600
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,401,13.079,13.367,1,0,1,ritual_wrap,switch_to_ritual_wrap,0,23,0,1250,17,17,0,0,0,133,0,380,380,3.68380,3.91215,3,0,0,2.0599,-1.1448,1.9987,1.7654,-4.2945,1.8181,0.4114,-0.3000,-0.8607,0.14136,0.00000,4.133,1.867
20260527-223625-sentence-script-a-central-root-cylinder-b0ff51,409,13.346,13.633,1,0,1,ritual_wrap,switch_to_ritual_wrap,0,24,0,1250,17,17,0,0,0,133,0,380,380,3.68380,3.91215,3,0,0,2.0599,-1.1448,1.9987,1.7654,-4.2945,1.8181,0.4114,-0.3000,-0.8607,0.14136,0.00000,5.167,0.067
