run_id,frame,wall_timestamp,elapsed_seconds,sim_time,round_index,paused,ai_enabled,ai_mode,ai_mode_time,ai_mode_duration,human_override_active,stagnation_timer,completion_timer,cell_x,cell_y,cell_z,leading_dir_x,leading_dir_y,leading_dir_z,progress_x,displacement_since_sample,filament_count,live_filament_count,total_filament_points,avg_filament_length,total_filament_length,longest_filament_length,front_tip_count,rear_root_count,adhesion_count,attached_adhesion_count,detached_adhesion_count,monomer_count,mark_count,trail_count,growth_drive,shrink_drive,branch_drive,detach_drive,retrograde_rate,flex_noise,growth_scale,contractility,shape_bulge,dip,base_radius,max_filaments,max_points_per_filament
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,186,1779842972.503966,4.115647,4.133333,1,0,1,CURIOUS,4.133333,11.46348,0,0.0,0.0,-2.779887,-0.019201,1.2672,0.814496,0.580169,0.0,-2.779887,0.030151,64,64,692,1.006537,64.418397,1.957366,50,16,17,16,1,80,2,3,1.815627,0.937156,0.311262,0.578594,0.055,0.382733,1.0,0.755719,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,190,1779842972.5928,4.204479,4.222222,1,0,1,CURIOUS,4.222222,11.46348,0,0.0,0.0,-2.763542,-0.007276,1.2672,0.803905,0.594758,0.0,-2.763542,0.050381,64,64,701,1.014312,64.915953,1.949197,49,17,17,16,1,81,2,3,1.826248,0.936951,0.312572,0.578252,0.055,0.383842,1.0,0.75565,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,194,1779842972.702504,4.314235,4.311111,1,0,1,CURIOUS,4.311111,11.46348,0,0.0,0.0,-2.747373,0.00496,1.2672,0.793537,0.608522,0.0,-2.747373,0.070651,64,64,710,1.021092,65.349914,2.008165,48,17,17,16,1,81,2,3,1.836743,0.936749,0.313862,0.577915,0.055,0.384942,1.0,0.755583,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,200,1779842972.825117,4.436696,4.444444,1,0,1,CURIOUS,4.444444,11.46348,0,0.0,0.0,-2.723505,0.023811,1.2672,0.778538,0.627598,0.0,-2.723505,0.101046,64,64,725,1.034095,66.182084,2.026536,47,17,17,16,1,80,2,4,1.85225,0.93645,0.315758,0.577416,0.055,0.386576,1.0,0.755483,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,203,1779842972.903206,4.514889,4.511111,1,0,1,CURIOUS,4.511111,11.46348,0,0.0,0.0,-2.711636,0.03353,1.2672,0.771341,0.636422,0.0,-2.711636,0.116371,64,64,733,1.042395,66.713288,2.022179,48,19,17,16,1,80,2,4,1.859899,0.936302,0.316689,0.57717,0.055,0.387386,1.0,0.755434,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,208,1779842973.007621,4.619324,4.622222,1,0,1,CURIOUS,4.622222,11.46348,0,0.0,0.0,-2.691992,0.050097,1.2672,0.75988,0.650064,0.0,-2.691992,0.142035,64,64,734,1.037835,66.421468,2.015386,46,19,17,16,1,81,2,4,1.872496,0.936059,0.318217,0.576765,0.055,0.388724,1.0,0.755353,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,212,1779842973.113961,4.725594,4.711111,1,0,1,CURIOUS,4.711111,11.46348,0,0.0,0.0,-2.676562,0.063521,1.2672,0.751251,0.660016,0.0,-2.676562,0.162454,64,64,745,1.048321,67.092524,2.010441,46,18,17,16,1,78,2,4,1.882438,0.935867,0.319417,0.576445,0.055,0.389786,1.0,0.755289,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,216,1779842973.212345,4.824026,4.8,1,0,1,CURIOUS,4.8,11.46348,0,0.0,0.0,-2.661171,0.077255,1.2672,0.743159,0.669114,0.0,-2.661171,0.183042,64,64,750,1.051586,67.30148,2.093102,46,19,17,14,3,82,2,4,1.892262,0.935677,0.320598,0.576129,0.055,0.390838,1.0,0.755226,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,220,1779842973.293555,4.905208,4.888889,1,0,1,CURIOUS,4.888889,11.46348,0,0.0,0.0,-2.645743,0.091343,1.2672,0.735652,0.67736,0.0,-2.645743,0.203888,64,64,756,1.056236,67.599123,2.136856,44,21,17,14,3,82,2,4,1.901968,0.93549,0.32176,0.575817,0.055,0.391883,1.0,0.755163,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,224,1779842973.396031,5.00768,4.977778,1,0,1,CURIOUS,4.977778,11.46348,0,0.0,0.0,-2.630368,0.105683,1.2672,0.728774,0.684754,0.0,-2.630368,0.224861,64,64,756,1.051457,67.293243,2.134292,43,21,17,14,3,81,2,4,1.911558,0.935305,0.322903,0.575509,0.055,0.392919,1.0,0.755102,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,229,1779842973.514406,5.12606,5.088889,1,0,1,CURIOUS,5.088889,11.46348,0,0.0,0.0,-2.611379,0.12377,1.2672,0.721123,0.692807,0.0,-2.611379,0.251016,64,64,774,1.069083,68.4213,2.132157,44,21,17,13,4,81,2,4,1.923384,0.935077,0.324307,0.575128,0.055,0.394202,1.0,0.755026,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,233,1779842973.613115,5.224693,5.177778,1,0,1,CURIOUS,5.177778,11.46348,0,0.0,0.0,-2.596791,0.137921,1.2672,0.715803,0.698303,0.0,-2.596791,0.271282,64,64,780,1.073005,68.672295,2.129333,45,21,17,13,4,81,2,4,1.932718,0.934897,0.32541,0.574828,0.055,0.39522,1.0,0.754966,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,236,1779842973.694381,5.305978,5.244444,1,0,1,CURIOUS,5.244444,11.46348,0,0.0,0.0,-2.586267,0.148257,1.2672,0.712301,0.701874,0.0,-2.586267,0.28599,64,64,786,1.076717,68.909903,2.127469,46,21,17,12,5,80,3,4,1.939646,0.934763,0.326226,0.574605,0.055,0.395978,1.0,0.754921,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,240,1779842973.805228,5.416818,5.333333,1,0,1,CURIOUS,5.333333,11.46348,0,0.0,0.0,-2.573859,0.160573,1.2672,0.708305,0.705906,0.0,-2.573859,0.30342,64,64,797,1.087628,69.608218,2.125597,46,21,17,12,5,81,3,4,1.948786,0.934587,0.327299,0.574311,0.055,0.396981,1.0,0.754862,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,243,1779842973.946207,5.557831,5.4,1,0,1,CURIOUS,5.4,11.46348,0,0.0,0.0,-2.564568,0.169876,1.2672,0.705826,0.708385,0.0,-2.564568,0.316529,64,64,804,1.095705,70.1251,2.207605,45,22,17,12,5,81,3,4,1.955569,0.934456,0.328092,0.574093,0.055,0.397728,1.0,0.754819,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,245,1779842973.992141,5.603689,5.444444,1,0,1,CURIOUS,5.444444,11.46348,0,0.0,0.0,-2.558744,0.175739,1.2672,0.704424,0.709779,0.0,-2.558744,0.324767,64,64,813,1.104539,70.690527,2.283892,44,22,17,12,5,81,3,4,1.960057,0.934369,0.328616,0.573949,0.055,0.398224,1.0,0.75479,1.4,0.0,1.32,64,24
