run_id,sample_index,sim_time_s,frame,round,ai_enabled,ai_mode,paused,ion_index,ion_charge,ion_marked,ion_attached_channel,ion_inside,ion_x,ion_y,ion_z,ion_vx,ion_vy,ion_vz,ion_speed,ion_recent_transfer_timer,total_ions,inside_count,outside_count,open_channel_count,total_crossings,global_pressure_bias,global_swirl_strength,electric_x,electric_y,electric_z,channel_open_mask,channel_attached_counts
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,52,1,0,,0,1.615683,-5.822102,-4.107161,0.056741,0.149201,-0.238125,0.286678,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,53,-1,0,,0,6.782171,-1.642581,0.444418,-0.201989,0.027816,-0.19612,0.282907,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,54,1,0,,0,-1.53118,6.776229,1.431721,0.089077,-0.102634,-0.433737,0.454529,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,55,1,0,,0,0.031444,-1.744689,5.867065,0.324157,0.460955,-0.30329,0.639955,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,56,-1,0,,0,-7.129047,-0.602694,0.090371,-0.483158,0.182839,-0.021129,0.517028,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,57,1,0,,0,5.359333,-1.600538,-3.18341,-0.074146,-0.286726,-0.109325,0.315692,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,58,1,0,,0,-2.18955,-4.475631,5.445838,0.455798,0.386505,0.098845,0.605729,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,59,1,0,,0,-1.154845,6.187736,-1.483682,-0.075702,0.420299,-0.402206,0.586644,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,60,-1,0,,0,-3.481921,-6.136251,0.235062,-0.334913,-0.15135,0.494698,0.616279,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,61,-1,0,,0,7.631458,-0.809865,-0.241539,0.510223,-0.326523,0.334533,0.691995,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
