run_id,frame,elapsed_seconds,ai_enabled,ai_mode,ai_round,paused,selected_alveolus,probe_x,probe_y,probe_z,probe_vx,probe_vy,probe_vz,breathing_phase,breathing_rate,breathing_amplitude,blood_flow_speed,membrane_permeability,avg_capillary_saturation,avg_carrier_saturation,air_o2_count,air_co2_count,blood_o2_count,blood_co2_count,o2_to_blood_transfers,co2_to_air_transfers,attach_count,detach_count,collision_count,spill_count,mark_count,reset_count,tissue_exchange_count,exhaled_count,stagnation_timer,completion_timer,alveolus_1_radius,alveolus_2_radius,alveolus_3_radius,alveolus_4_radius,alveolus_5_radius,path_1_saturation,path_2_saturation,path_3_saturation,path_4_saturation,path_5_saturation
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,567,8.5446,1,careful_breath,1,0,4,-0.71947,-1.19972,-0.02857,-0.33179,0.32309,-1.44555,39.31483,0.72194,0.105,1.0,1.1471,0.26113,0.25315,106,46,10,3,1,48,1,48,1505,0,1,0,1,27,2.45924,0.0,0.94996,0.99127,1.11739,0.96652,1.04117,0.29114,0.25634,0.25964,0.26462,0.23394
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,582,8.8051,1,careful_breath,1,0,4,-0.67065,-1.09105,-0.39991,0.62303,0.47915,-1.30339,40.49612,0.72154,0.105,1.0,1.14769,0.25915,0.25315,110,42,10,3,1,48,1,48,1505,0,1,0,1,31,2.71973,0.0,0.89027,0.92899,1.04718,0.90579,0.97575,0.28877,0.25535,0.25695,0.26256,0.23212
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,597,9.0672,1,careful_breath,1,0,3,-0.44111,-0.96012,-0.67589,0.0,0.0,0.0,41.68409,0.72125,0.105,1.0,1.14813,0.25764,0.25315,115,37,10,3,1,48,1,48,1701,0,1,0,1,36,2.96458,0.0,0.79235,0.8268,0.932,0.80616,0.86843,0.28697,0.25459,0.2549,0.261,0.23073
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,612,9.3267,1,careful_breath,1,0,3,-0.44111,-0.96012,-0.67589,0.0,0.0,0.0,42.86019,0.72125,0.105,1.0,1.14813,0.25649,0.25315,115,37,10,3,1,48,1,48,2056,0,1,0,1,36,2.96458,0.0,0.77843,0.81229,0.91564,0.79201,0.85318,0.2856,0.25402,0.25334,0.25981,0.22967
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,626,9.5935,1,careful_breath,1,0,3,-0.44111,-0.96012,-0.67589,0.0,0.0,0.0,44.06917,0.72125,0.105,1.0,1.14813,0.25486,0.24835,115,37,10,3,1,48,1,48,2056,0,1,0,1,36,2.96458,0.0,0.86761,0.90534,1.02053,0.88273,0.95091,0.28062,0.2536,0.25221,0.25895,0.2289
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,638,9.8449,1,careful_breath,1,0,3,-0.44111,-0.96012,-0.67589,0.0,0.0,0.0,45.20853,0.72125,0.105,1.0,1.14813,0.2535,0.24835,115,37,10,3,1,48,1,48,2056,0,1,0,1,36,2.96458,0.0,0.94474,0.98583,1.11126,0.96122,1.03546,0.27602,0.25331,0.25144,0.25836,0.22838
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,650,10.121,1,careful_breath,1,0,3,-0.44111,-0.96012,-0.67589,0.0,0.0,0.0,46.45979,0.72125,0.105,1.0,1.14813,0.25399,0.24835,115,38,10,2,1,49,1,49,2056,0,1,0,1,36,2.96458,0.0,0.91542,0.95522,1.07676,0.93138,1.00331,0.27231,0.26099,0.25081,0.25788,0.22795
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,660,10.387,1,careful_breath,1,0,3,-0.44111,-0.96012,-0.67589,0.0,0.0,0.0,47.66539,0.72125,0.105,1.0,1.14813,0.25296,0.24835,115,38,10,2,1,49,1,49,2115,0,1,0,1,36,2.96458,0.0,0.81324,0.84861,0.95658,0.82742,0.89133,0.26977,0.2595,0.25037,0.25754,0.22764
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,674,10.6458,1,careful_breath,1,0,3,-0.44111,-0.96012,-0.67589,0.0,0.0,0.0,48.8379,0.72125,0.105,1.0,1.14813,0.25185,0.24835,117,36,10,2,1,49,1,49,2581,0,1,0,1,38,2.96458,0.0,0.77042,0.80393,0.90621,0.78386,0.8444,0.26694,0.25785,0.24992,0.25719,0.22733
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,688,10.8974,1,careful_breath,1,0,3,-0.44111,-0.96012,-0.67589,0.0,0.0,0.0,49.97831,0.72125,0.105,1.0,1.14813,0.25098,0.24835,117,36,10,2,1,49,1,49,2581,0,1,0,1,38,2.96458,0.0,0.8342,0.87048,0.98124,0.84875,0.9143,0.26475,0.25658,0.24956,0.25692,0.2271
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,703,11.1605,1,careful_breath,1,0,3,-0.44111,-0.96012,-0.67589,0.0,0.0,0.0,51.17058,0.72125,0.105,1.0,1.14813,0.25027,0.24835,117,36,10,2,1,49,1,49,2581,0,1,0,1,38,2.96458,0.0,0.93078,0.97125,1.09483,0.947,1.02014,0.26295,0.25553,0.24927,0.2567,0.2269
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,718,11.4212,1,careful_breath,1,0,3,-0.44111,-0.96012,-0.67589,0.0,0.0,0.0,52.35208,0.72125,0.105,1.0,1.14813,0.25141,0.24835,117,37,10,1,1,50,1,50,2581,0,1,0,1,38,2.96458,0.0,0.93831,0.97911,1.10369,0.95467,1.0284,0.26158,0.2631,0.24905,0.25654,0.22676
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,733,11.6808,1,careful_breath,1,0,3,-0.44111,-0.96012,-0.67589,0.0,0.0,0.0,53.52849,0.72125,0.105,1.0,1.14813,0.2506,0.24835,118,36,10,1,1,50,1,50,2581,0,1,0,1,39,2.96458,0.0,0.84884,0.88575,0.99845,0.86364,0.93034,0.26054,0.2605,0.24889,0.25641,0.22665
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,748,11.9417,1,careful_breath,1,0,3,-0.44111,-0.96012,-0.67589,0.0,0.0,0.0,54.71055,0.72125,0.105,1.0,1.14813,0.25623,0.25177,123,30,11,1,2,50,2,50,2932,0,1,0,1,45,2.96458,0.0,0.7727,0.80631,0.9089,0.78618,0.8469,0.25974,0.25852,0.24876,0.25632,0.2578
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,763,12.2067,1,careful_breath,1,0,3,-0.44111,-0.96012,-0.67589,0.0,0.0,0.0,55.91136,0.72125,0.105,1.0,1.14813,0.25508,0.25177,123,30,11,1,2,50,2,50,3045,0,1,0,1,45,2.96458,0.0,0.80606,0.84111,0.94813,0.82011,0.88345,0.25913,0.25701,0.24866,0.25624,0.25438
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,778,12.4702,1,careful_breath,1,0,3,-0.44111,-0.96012,-0.67589,0.0,0.0,0.0,57.10565,0.72125,0.105,1.0,1.14813,0.25325,0.24722,123,30,11,1,2,50,2,50,3045,0,1,0,1,45,2.96458,0.0,0.9075,0.94696,1.06745,0.92332,0.99463,0.25867,0.25107,0.24858,0.25618,0.25176
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,793,12.7318,1,careful_breath,1,0,3,-0.44111,-0.96012,-0.67589,0.0,0.0,0.0,58.29141,0.72125,0.105,1.0,1.14813,0.252,0.24036,123,31,11,0,2,51,2,51,3045,0,1,0,1,45,2.96458,0.0,0.94872,0.98998,1.11594,0.96526,1.03981,0.25832,0.24318,0.25577,0.25297,0.24978
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,808,12.9907,1,careful_breath,1,0,3,-0.44111,-0.96012,-0.67589,0.0,0.0,0.0,59.46439,0.72125,0.105,1.0,1.14813,0.24915,0.24036,127,27,11,0,2,51,2,51,3045,0,1,0,1,49,2.96458,0.0,0.87999,0.91826,1.03509,0.89534,0.96449,0.25805,0.23508,0.254,0.25033,0.24826
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,823,13.2585,1,careful_breath,1,0,3,-0.44111,-0.96012,-0.67589,0.0,0.0,0.0,60.67797,0.72125,0.105,1.0,1.14813,0.24697,0.24036,127,27,11,0,2,51,2,51,3242,0,1,0,1,49,2.96458,0.0,0.78441,0.81853,0.92267,0.79809,0.85973,0.25785,0.22892,0.25265,0.24831,0.24711
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,837,13.5104,1,careful_breath,1,0,3,-0.44111,-0.96012,-0.67589,0.0,0.0,0.0,61.81965,0.72125,0.105,1.0,1.14813,0.24501,0.23577,127,27,11,0,2,51,2,51,3478,0,1,0,1,49,2.96458,0.0,0.78322,0.81728,0.92127,0.79688,0.85842,0.2577,0.2245,0.24969,0.24687,0.24628
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,851,13.7642,1,careful_breath,1,0,3,-0.44111,-0.96012,-0.67589,0.0,0.0,0.0,62.96983,0.72125,0.105,1.0,1.14813,0.24285,0.23577,127,27,11,0,2,51,2,51,3478,0,1,0,1,49,2.96458,0.0,0.87219,0.91012,1.02592,0.8874,0.95594,0.25758,0.22107,0.24423,0.24574,0.24564
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,864,14.0156,1,careful_breath,1,0,3,-0.44111,-0.96012,-0.67589,0.0,0.0,0.0,64.10902,0.72125,0.105,1.0,1.14813,0.24128,0.23577,127,27,11,0,2,51,2,51,3478,0,1,0,1,49,2.96458,0.0,0.94619,0.98733,1.11296,0.96268,1.03704,0.2575,0.21857,0.24026,0.24492,0.24517
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,878,14.2657,1,careful_breath,1,0,1,-0.98527,0.46141,-1.0985,-0.52638,3.31697,-1.31933,65.24207,0.72103,0.105,1.0,1.14846,0.23967,0.23329,127,27,11,0,2,51,2,51,3478,0,2,0,1,49,3.09003,0.0,0.92007,0.96008,1.08224,0.93611,1.00841,0.25743,0.215,0.23692,0.24424,0.24477
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,893,14.523,1,careful_breath,1,0,1,-0.85349,0.94869,-1.3134,1.05427,1.07443,-0.46469,66.40776,0.72082,0.105,1.0,1.14877,0.23807,0.23329,130,24,11,0,2,51,2,51,3501,0,2,0,1,52,3.34738,0.0,0.82179,0.85752,0.96663,0.83612,0.90069,0.25737,0.21068,0.23417,0.24368,0.24446
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,908,14.7794,1,careful_breath,1,0,1,-0.5503,1.12258,-1.38835,1.21994,0.44522,-0.26422,67.56874,0.72065,0.105,1.0,1.14902,0.23624,0.23018,133,21,11,0,2,51,2,51,3921,0,2,0,1,55,3.55342,0.0,0.76953,0.80299,0.90516,0.78294,0.84341,0.25733,0.20738,0.22903,0.24325,0.24421
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,923,15.038,1,careful_breath,1,0,1,-0.24943,1.18962,-1.49167,1.16983,0.12331,-0.53839,68.73951,0.72052,0.105,1.0,1.14922,0.23439,0.22543,133,21,10,1,2,51,2,51,3921,0,2,0,2,55,3.76022,0.0,0.82666,0.86261,0.97237,0.84108,0.90604,0.2573,0.20321,0.22446,0.24293,0.24403
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,938,15.3028,1,careful_breath,1,0,1,0.08611,1.18579,-1.64035,1.37942,-0.12968,-0.47288,69.93836,0.72041,0.105,1.0,1.14938,0.23217,0.22543,133,21,10,1,2,51,2,51,3921,0,2,0,2,55,4.02505,0.0,0.92598,0.96625,1.08919,0.94213,1.01489,0.25728,0.19603,0.22097,0.24268,0.24388
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,953,15.5699,1,careful_breath,1,0,1,0.46136,1.1194,-1.66636,1.36425,-0.34726,0.30583,71.14742,0.72033,0.105,1.0,1.1495,0.2304,0.22324,133,21,10,1,2,51,2,51,3921,0,2,0,2,55,4.2388,0.0,0.9406,0.98151,1.10639,0.957,1.03092,0.25726,0.19057,0.21832,0.2421,0.24377
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,968,15.8343,1,careful_breath,1,0,1,0.76662,1.00287,-1.46417,0.95419,-0.5226,1.11538,72.34379,0.72026,0.105,1.0,1.14961,0.22749,0.21853,135,19,10,1,2,51,2,51,3921,0,2,0,2,57,4.45001,0.0,0.85192,0.88896,1.00207,0.86677,0.93371,0.25724,0.1864,0.21629,0.23381,0.24369
