run_id,frame,elapsed_seconds,sim_time,round_number,ai_enabled,ai_mode,paused,director_x,director_y,director_z,active_channels,molecules_free_inside,molecules_free_outside,molecules_attached,vesicles_alive,first_vesicle_state,first_vesicle_x,first_vesicle_y,first_vesicle_z,first_molecule_kind,first_molecule_inside,first_molecule_state,first_molecule_x,first_molecule_y,first_molecule_z,first_molecule_vx,first_molecule_vy,first_molecule_vz,passes,bounces,collisions,buds,fusions,transfers,marks,spills,detaches,resets,nucleus_absorbed,golgi_absorbed,lysosome_absorbed,er_absorbed
20260526-040130-sentence-script-a-transparent-spherical-2682c1,421,6.6527,9.262,1,1,artistic_mark,0,1.6739,1.5303,1.7734,3,35,19,4,2,travel,-0.8034,0.3418,-0.3031,waste,1,free,1.6984,-1.6911,1.8267,0.4744,-0.4377,-1.2057,1,47,52,4,2,5,154,0,0,1,0,2,0,3
20260526-040130-sentence-script-a-transparent-spherical-2682c1,433,6.8607,9.526,1,1,artistic_mark,0,1.3365,1.2225,2.1085,2,35,19,4,2,travel,-1.0273,-0.0041,-0.3982,waste,1,free,1.8308,-1.8011,1.5015,0.5036,-0.3974,-1.2405,1,49,52,4,2,5,154,0,0,1,0,2,0,3
20260526-040130-sentence-script-a-transparent-spherical-2682c1,445,7.0726,9.79,1,1,artistic_mark,0,0.945,0.8843,2.3394,2,35,19,4,2,travel,-1.2739,-0.2943,-0.5402,waste,1,free,1.9591,-1.9015,1.1702,0.4825,-0.4013,-1.2278,1,49,52,4,2,5,154,0,0,1,0,2,0,3
20260526-040130-sentence-script-a-transparent-spherical-2682c1,457,7.2894,10.054,1,1,artistic_mark,0,0.5093,0.5391,2.4461,3,35,19,4,2,travel,-1.4801,-0.4652,-0.6885,waste,1,free,2.0856,-1.997,0.8532,0.5052,-0.3278,-1.2007,1,50,52,4,2,5,157,0,0,1,0,2,0,3
20260526-040130-sentence-script-a-transparent-spherical-2682c1,469,7.5173,10.318,1,1,artistic_mark,0,0.0444,0.2231,2.3906,4,35,19,4,2,travel,-1.7321,-0.5806,-0.9082,waste,1,free,2.2216,-2.0704,0.5341,0.5088,-0.2812,-1.2069,1,50,52,4,2,5,169,0,0,1,0,2,0,3
20260526-040130-sentence-script-a-transparent-spherical-2682c1,481,7.7427,10.582,1,1,artistic_mark,0,-0.4366,0.0355,2.1646,4,35,19,4,2,fusing,-1.7723,-0.5901,-0.9469,waste,1,free,2.3557,-2.143,0.212,0.5248,-0.2927,-1.255,1,51,52,4,2,5,181,0,0,1,0,2,0,3
20260526-040130-sentence-script-a-transparent-spherical-2682c1,493,7.9464,10.846,1,1,artistic_mark,0,-0.9011,0.035,1.8429,4,35,19,4,2,fusing,-1.7723,-0.5901,-0.9469,waste,1,free,2.49,-2.2222,-0.1182,0.5035,-0.2859,-1.2403,1,51,52,4,2,5,197,0,0,1,0,2,0,3
20260526-040130-sentence-script-a-transparent-spherical-2682c1,505,8.148,11.11,1,1,artistic_mark,0,-1.2936,0.1697,1.4585,4,37,19,2,1,travel,1.4747,0.8253,0.0929,waste,1,free,2.6318,-2.2943,-0.4419,0.5278,-0.2849,-1.2693,1,52,52,4,3,7,224,0,0,1,2,2,0,3
20260526-040130-sentence-script-a-transparent-spherical-2682c1,517,8.3432,11.374,1,1,artistic_mark,0,-1.5365,0.3651,0.9879,3,37,19,2,1,travel,2.3102,1.1135,0.0569,waste,1,free,2.7695,-2.3632,-0.7754,0.5084,-0.2444,-1.2516,1,52,52,4,3,7,247,0,0,1,2,2,0,3
20260526-040130-sentence-script-a-transparent-spherical-2682c1,529,8.534,11.638,1,1,artistic_mark,0,-1.5992,0.5359,0.4527,4,37,19,2,1,fusing,2.3918,1.1544,0.0515,waste,1,free,2.9146,-2.4273,-1.1058,0.5694,-0.2401,-1.2461,1,53,52,4,3,7,277,0,0,1,2,2,0,3
