run_id,frame,elapsed_seconds,round,paused,ai_enabled,ai_mode,simulation_mode_note,unfold_progress,fork_distance,left_fork_x,left_fork_y,left_fork_z,right_fork_x,right_fork_y,right_fork_z,replication_speed,unfold_speed,target_replication_speed,target_unfold_speed,chaos_level,attached_enzyme_count,active_particle_count,attachment_count,detachment_count,collision_count,transfer_count,mark_count,spill_count,enzyme0_x,enzyme0_y,enzyme0_z,enzyme0_attached,enzyme1_x,enzyme1_y,enzyme1_z,enzyme1_attached,completion_hold,ai_stagnation_seconds,active_loop_count
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,664,11.652,1,0,1,careful,careful,0.86005,4.88500,-4.88500,0.00000,0.00000,4.88500,0.00000,0.00000,0.37163,0.07500,0.36269,0.07500,0.00000,10,2,10,0,8,10,0,13,-4.92441,0.01131,-0.53298,1,4.92441,-0.50804,-0.16015,1,0.00000,0.00000,8
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,681,11.916,1,0,1,careful,careful,0.88130,4.98936,-4.98936,0.00000,0.00000,4.98936,0.00000,0.00000,0.36583,0.07500,0.36017,0.07500,0.00000,10,3,10,0,10,10,0,14,-5.02950,0.38416,-0.36960,1,5.02950,-0.24432,-0.47341,1,0.00000,0.00000,8
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,699,12.176,1,0,1,artistic,artistic,0.90573,5.11136,-5.11136,0.00000,0.00000,5.11136,0.00000,0.00000,0.48177,0.09288,0.66000,0.12000,1.00000,10,12,10,0,11,10,0,23,-5.05647,0.46280,0.03381,1,5.19982,0.21850,-0.49539,1,0.00000,0.00000,7
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,717,12.428,1,0,1,artistic,artistic,0.93632,5.27384,-5.27384,0.00000,0.00000,5.27384,0.00000,0.00000,0.58219,0.10816,0.66000,0.12000,1.00000,10,17,10,0,17,10,0,28,-5.27087,0.12701,0.54718,1,5.19563,0.60041,0.12898,1,0.00000,0.00000,8
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,734,12.678,1,0,1,artistic,artistic,0.96805,5.44590,-5.44590,0.00000,0.00000,5.44590,0.00000,0.00000,0.62443,0.11459,0.66000,0.12000,1.00000,10,30,10,0,27,13,0,44,-5.59022,-0.33341,0.34802,1,5.38769,0.14705,0.57560,1,0.00000,0.00000,8
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,757,12.932,1,0,1,artistic,artistic,1.00000,5.69068,-5.69068,0.00000,0.00000,5.69068,0.00000,0.00000,0.64766,0.11812,0.66000,0.12000,1.00000,10,29,10,0,45,19,0,49,-5.65665,-0.20151,-0.47993,1,5.83812,-0.59908,-0.01492,1,0.00000,0.00000,8
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,782,13.183,1,0,1,artistic,artistic,1.00000,5.96270,-5.96270,0.00000,0.00000,5.96270,0.00000,0.00000,0.65610,0.11941,0.66000,0.12000,1.00000,10,40,10,0,57,24,0,65,-5.84121,0.38188,-0.08990,1,5.99232,0.10978,-0.57935,1,0.00000,0.00000,8
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,796,13.437,1,0,1,artistic,artistic,1.00000,6.11604,-6.11604,0.00000,0.00000,6.11604,0.00000,0.00000,0.65795,0.11969,0.66000,0.12000,1.00000,10,38,10,0,65,30,0,70,-6.17520,0.19204,0.39441,1,6.00378,0.56535,-0.09705,1,0.00000,0.00000,7
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,809,13.694,1,0,1,artistic,artistic,1.00000,6.25872,-6.25872,0.00000,0.00000,6.25872,0.00000,0.00000,0.65887,0.11983,0.66000,0.12000,1.00000,10,40,10,0,68,36,1,81,-6.36143,-0.20231,0.45490,1,6.27212,0.35340,0.46913,1,0.00000,0.00000,6
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,822,13.945,1,0,1,artistic,artistic,1.00000,6.40154,-6.40154,0.00000,0.00000,6.40154,0.00000,0.00000,0.65938,0.11991,0.66000,0.12000,1.00000,10,44,10,0,83,40,1,91,-6.32335,-0.47519,0.01275,1,6.52172,-0.26656,0.51080,1,0.00000,0.00000,5
