run_id,frame,elapsed_seconds,sim_time,phase_progress,stage,ai_enabled,ai_mode,paused,loop_count,reset_count,last_reset_reason,selected_chromosome,selected_x,selected_y,selected_z,selected_vx,selected_vy,selected_vz,left_pole_x,left_pole_y,left_pole_z,right_pole_x,right_pole_y,right_pole_z,left_daughter_membrane_x,right_daughter_membrane_x,cleavage_band_radius,alignment_error,average_chromatid_separation,attached_spindle_ends,particle_bounce_count,mark_count,stagnation_seconds,completion_timer,membrane_opacity,nucleus_opacity
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,222,3.4160,3.4170,0.09112,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.61083,0.10121,0.12467,-0.10725,-0.04699,-0.05386,-0.27947,0.00000,0.00000,0.27947,0.00000,0.00000,-0.00000,0.00000,3.00000,0.75787,0.11000,0,0,3,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,228,3.5178,3.5187,0.09383,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.62177,0.09605,0.11978,-0.10761,-0.05334,-0.04401,-0.29517,0.00000,0.00000,0.29517,0.00000,0.00000,-0.00000,0.00000,3.00000,0.75734,0.11000,0,0,3,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,234,3.6194,3.6204,0.09654,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.63268,0.09029,0.11588,-0.10705,-0.05894,-0.03441,-0.31400,0.00000,0.00000,0.31400,0.00000,0.00000,-0.00000,0.00000,3.00000,0.75649,0.11000,0,0,3,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,240,3.7218,3.7227,0.09927,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.64356,0.08396,0.11292,-0.10556,-0.06389,-0.02493,-0.33603,0.00000,0.00000,0.33603,0.00000,0.00000,-0.00000,0.00000,3.00000,0.75532,0.11000,0,0,3,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,246,3.8225,3.8235,0.10196,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.65406,0.07726,0.11095,-0.10321,-0.06813,-0.01579,-0.36062,0.00000,0.00000,0.36062,0.00000,0.00000,-0.00000,0.00000,3.00000,0.75386,0.11007,0,0,3,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,252,3.9228,3.9238,0.10463,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.66423,0.07022,0.10989,-0.10002,-0.07174,-0.00689,-0.38787,0.00000,0.00000,0.38787,0.00000,0.00000,-0.00000,0.00000,3.00000,0.75426,0.11041,0,0,3,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,258,4.0233,4.0243,0.10731,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.67406,0.06282,0.10971,-0.09601,-0.07479,0.00183,-0.41785,0.00000,0.00000,0.41785,0.00000,0.00000,-0.00000,0.00000,3.00000,0.75469,0.11101,0,0,3,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,264,4.1241,4.1250,0.11000,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.68345,0.05513,0.11039,-0.09118,-0.07730,0.01035,-0.45049,0.00000,0.00000,0.45049,0.00000,0.00000,-0.00000,0.00000,3.00000,0.75476,0.11187,0,0,3,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,270,4.2248,4.2258,0.11269,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.69232,0.04723,0.11193,-0.08561,-0.07927,0.01864,-0.48564,0.00000,0.00000,0.48564,0.00000,0.00000,-0.00000,0.00000,3.00000,0.75445,0.11298,0,0,3,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,276,4.3258,4.3267,0.11538,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.70059,0.03913,0.11428,-0.07931,-0.08073,0.02669,-0.52327,0.00000,0.00000,0.52327,0.00000,0.00000,-0.00000,0.00000,3.00000,0.75376,0.11434,0,0,3,0.00000,0.00000,0.17000,0.20000
