run_id,frame,elapsed_seconds,simulation_seconds,round_index,ai_enabled,human_override,paused,ai_mode,ai_action,cell_x,cell_y,cell_z,cell_vx,cell_vy,cell_vz,pathogen_x,pathogen_y,pathogen_z,pathogen_vx,pathogen_vy,pathogen_vz,distance,attached,engulfed,digest_complete,wrap_progress,digestion_progress,bacterium_scale,collision_count,attach_count,detach_count,engulf_count,orbit_count,mark_count,spill_count,reset_count,trail_count,enzyme_particle_count,digest_particle_count,stagnation_timer
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,662,10.81929,10.82027,1,1,0,0,digest,digest:inside,11.53958,1.05,7.52293,-0.13658,0.0,-0.28287,11.73276,0.91706,7.54868,0.0,0.0,0.0,0.19488,0,1,0,1.25,0.24458,0.76521,33,1,0,1,0,46,48,0,42,42,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,677,11.07387,11.07484,1,1,0,0,digest,digest:inside,11.52216,1.05,7.4491,-0.00713,0.0,-0.28652,11.5944,0.89971,7.35702,0.0,0.0,0.0,0.11704,0,1,0,1.25,0.27003,0.74077,33,1,0,1,0,46,52,0,38,41,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,692,11.32812,11.32909,1,1,0,0,digest,digest:inside,11.53736,1.05,7.38304,0.1142,0.0,-0.22704,11.48377,0.90084,7.18693,0.0,0.0,0.0,0.2033,0,1,0,1.25,0.29546,0.71636,33,1,0,1,0,46,56,0,35,45,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,707,11.58086,11.58183,1,1,0,0,digest,digest:inside,11.57798,1.05,7.33961,0.1927,0.0,-0.11763,11.40994,0.91973,7.06425,0.0,0.0,0.0,0.32258,0,1,0,1.25,0.32073,0.6921,33,1,0,1,0,46,60,0,35,45,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,722,11.83733,11.83831,1,1,0,0,digest,digest:inside,11.63087,1.05,7.32752,0.20696,0.0,0.01514,11.37165,0.95152,7.00422,0.0,0.0,0.0,0.41438,0,1,0,1.25,0.34638,0.66748,33,1,0,1,0,46,60,0,35,40,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,737,12.08951,12.09048,1,1,0,0,digest,digest:inside,11.67721,1.05,7.34756,0.15392,0.0,0.13061,11.36318,0.98656,7.01303,0.0,0.0,0.0,0.45883,0,1,0,1.25,0.3716,0.64327,33,1,0,1,0,46,60,0,35,33,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,752,12.35133,12.35231,1,1,0,0,digest,digest:inside,11.70336,1.05,7.39286,0.04673,0.0,0.20003,11.37488,1.01698,7.08427,0.0,0.0,0.0,0.45069,0,1,0,1.25,0.39778,0.61813,33,1,0,1,0,46,66,0,30,31,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,767,12.60692,12.6079,1,1,0,0,digest,digest:inside,11.6986,1.05,7.44538,-0.07541,0.0,0.19923,11.3981,1.03306,7.19501,0.0,0.0,0.0,0.39114,0,1,0,1.25,0.42334,0.59359,33,1,0,1,0,46,66,0,29,25,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,782,12.8622,12.86317,1,1,0,0,digest,digest:inside,11.6648,1.05,7.48837,-0.17625,0.0,0.13235,11.42873,1.03206,7.32105,0.0,0.0,0.0,0.28936,0,1,0,1.25,0.44887,0.56909,33,1,0,1,0,46,66,0,26,22,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,797,13.11336,13.11433,1,1,0,0,digest,digest:inside,11.61281,1.05,7.50756,-0.22427,0.0,0.02311,11.46663,1.01565,7.43665,0.0,0.0,0.0,0.16247,0,1,0,1.25,0.47398,0.54498,33,1,0,1,0,46,68,0,26,23,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,812,13.36551,13.36649,1,1,0,0,digest,digest:inside,11.55724,1.05,7.49715,-0.20648,0.0,-0.09621,11.51574,0.98918,7.5269,0.0,0.0,0.0,0.05107,0,1,0,1.25,0.4992,0.52077,33,1,0,1,0,46,68,0,26,18,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,827,13.61974,13.62072,1,1,0,0,digest,digest:inside,11.51444,1.05,7.45913,-0.12679,0.0,-0.18935,11.57957,0.96034,7.58337,0.0,0.0,0.0,0.14027,0,1,0,1.25,0.52462,0.49636,33,1,0,1,0,46,73,0,23,22,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,841,13.87313,13.8741,1,1,0,0,digest,digest:inside,11.4978,1.05,7.40478,-0.00951,0.0,-0.22619,11.65719,0.93772,7.60643,0.0,0.0,0.0,0.25704,0,1,0,1.25,0.54996,0.47204,33,1,0,1,0,46,76,0,21,22,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,856,14.12577,14.12675,1,1,0,0,digest,digest:inside,11.51181,1.05,7.35029,0.10976,0.0,-0.1962,11.74192,0.92766,7.60467,0.0,0.0,0.0,0.34302,0,1,0,1.25,0.57522,0.44778,33,1,0,1,0,46,78,0,18,23,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,871,14.37682,14.3778,1,1,0,0,digest,digest:inside,11.55181,1.05,7.31176,0.19523,0.0,-0.10873,11.82164,0.93249,7.58994,0.0,0.0,0.0,0.38755,0,1,0,1.25,0.60033,0.42368,33,1,0,1,0,46,85,0,16,27,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,886,14.63177,14.63275,1,1,0,0,digest,digest:inside,11.6067,1.05,7.30019,0.22222,0.0,0.01234,11.88194,0.951,7.5719,0.0,0.0,0.0,0.38676,0,1,0,1.25,0.62582,0.39921,33,1,0,1,0,46,85,0,16,25,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,901,14.88541,14.88639,1,1,0,0,digest,digest:inside,11.65889,1.05,7.31953,0.18128,0.0,0.12857,11.90533,0.97781,7.55609,0.0,0.0,0.0,0.3416,0,1,0,1.25,0.65119,0.37486,33,1,0,1,0,46,89,0,15,27,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,916,15.13968,15.14066,1,1,0,0,digest,digest:inside,11.69283,1.05,7.3638,0.08488,0.0,0.20551,11.88121,1.00575,7.54138,0.0,0.0,0.0,0.25889,0,1,0,1.25,0.67661,0.35045,33,1,0,1,0,46,93,0,15,31,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,931,15.39281,15.39379,1,1,0,0,digest,digest:inside,11.69802,1.05,7.41915,-0.03697,0.0,0.21958,11.80799,1.02738,7.52172,0.0,0.0,0.0,0.15037,0,1,0,1.25,0.70193,0.32615,33,1,0,1,0,46,93,0,15,31,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,946,15.64817,15.64914,1,1,0,0,digest,digest:inside,11.67275,1.05,7.46931,-0.14856,0.0,0.16632,11.6935,1.03762,7.48858,0.0,0.0,0.0,0.02833,0,1,0,1.25,0.72746,0.30163,33,1,0,1,0,46,98,0,14,35,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,961,15.90306,15.90403,1,1,0,0,digest,digest:inside,11.62467,1.05,7.4983,-0.2145,0.0,0.06198,11.55787,1.03434,7.43616,0.0,0.0,0.0,0.09124,0,1,0,1.25,0.75295,0.27717,33,1,0,1,0,46,98,0,13,35,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,976,16.15593,16.15691,1,1,0,0,digest,digest:inside,11.56892,1.05,7.49746,-0.21508,0.0,-0.06053,11.42744,1.01964,7.36486,0.0,0.0,0.0,0.1939,0,1,0,1.25,0.77824,0.25289,33,1,0,1,0,46,106,0,13,40,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,991,16.41246,16.41344,1,1,0,0,digest,digest:inside,11.52144,1.05,7.4667,-0.14947,0.0,-0.16608,11.32553,0.99811,7.28039,0.0,0.0,0.0,0.27036,0,1,0,1.25,0.80389,0.22826,33,1,0,1,0,46,114,0,11,43,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,1006,16.66877,16.66974,1,1,0,0,digest,digest:inside,11.49776,1.05,7.41539,-0.03766,0.0,-0.22018,11.27472,0.97662,7.19827,0.0,0.0,0.0,0.31127,0,1,0,1.25,0.82952,0.20366,33,1,0,1,0,46,122,0,11,48,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,1021,16.93409,16.93506,1,1,0,0,digest,digest:inside,11.50602,1.05,7.35758,0.08981,0.0,-0.20428,11.28578,0.96116,7.13499,0.0,0.0,0.0,0.31313,0,1,0,1.25,0.85606,0.17819,33,1,0,1,0,46,123,0,11,47,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,1037,17.19638,17.19735,1,1,0,0,digest,digest:inside,11.54414,1.05,7.3142,0.18683,0.0,-0.12224,11.35559,0.95719,7.11194,0.0,0.0,0.0,0.27651,0,1,0,1.25,0.88228,0.15301,33,1,0,1,0,46,125,0,9,49,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,1053,17.45367,17.45464,1,1,0,0,digest,digest:inside,11.59865,1.05,7.2986,0.22338,0.0,-0.00304,11.46357,0.96517,7.13749,0.0,0.0,0.0,0.21024,0,1,0,1.25,0.90801,0.12831,33,1,0,1,0,46,129,0,6,52,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,1069,17.7089,17.70988,1,1,0,0,digest,digest:inside,11.65268,1.05,7.3144,0.19081,0.0,0.11634,11.58462,0.98228,7.2093,0.0,0.0,0.0,0.12521,0,1,0,1.25,0.93354,0.1038,33,1,0,1,0,46,132,0,4,48,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,1085,17.96705,17.96803,1,1,0,0,digest,digest:inside,11.69029,1.05,7.35713,0.09836,0.0,0.20065,11.69476,1.00394,7.31695,0.0,0.0,0.0,0.04043,0,1,0,1.25,0.95935,0.07902,33,1,0,1,0,46,141,0,4,55,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,1100,18.21974,18.22072,1,1,0,0,digest,digest:inside,11.69913,1.05,7.41215,-0.02232,0.0,0.22218,11.77003,1.02372,7.4362,0.0,0.0,0.0,0.07486,0,1,0,1.25,0.98462,0.05476,33,1,0,1,0,46,144,0,3,54,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,1115,18.47234,18.47331,1,1,0,0,reset_pause,reset_pause:completion,11.68291,1.05,7.46359,-0.06809,0.0,0.18118,11.80893,1.037,7.54637,0.0,0.0,0.0,0.15078,0,1,1,1.25,1.0,0.04,33,1,0,1,0,46,146,0,2,52,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,1130,18.72792,18.7289,1,1,0,0,reset_pause,reset_pause:completion,11.6678,1.05,7.50379,-0.05194,0.0,0.1382,11.83517,1.04093,7.63746,0.0,0.0,0.0,0.2142,0,1,1,1.25,1.0,0.04,33,1,0,1,0,46,146,0,2,49,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,1145,18.98367,18.98464,1,1,0,0,reset_pause,reset_pause:completion,11.65627,1.05,7.53447,-0.03961,0.0,0.10539,11.84379,1.03476,7.70443,0.0,0.0,0.0,0.25309,0,1,1,1.25,1.0,0.04,33,1,0,1,0,46,146,0,2,45,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,1160,19.23662,19.2376,1,1,0,0,reset_pause,reset_pause:completion,11.64755,1.05,7.55765,-0.0303,0.0,0.08062,11.83162,1.02039,7.7452,0.0,0.0,0.0,0.26278,0,1,1,1.25,1.0,0.04,33,1,0,1,0,46,146,0,1,38,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,1175,19.49078,19.49175,1,1,0,0,reset_pause,reset_pause:completion,11.64086,1.05,7.57545,-0.02315,0.0,0.06159,11.79844,1.00169,7.76043,0.0,0.0,0.0,0.243,0,1,1,1.25,1.0,0.04,33,1,0,1,0,46,146,0,1,36,34,0.0
20260527-224029-sentence-script-a-large-flexible-amoeboi-2376c7,1190,19.74545,19.74643,1,1,0,0,reset_pause,reset_pause:completion,11.63574,1.05,7.58907,-0.01767,0.0,0.04702,11.74699,0.98388,7.75141,0.0,0.0,0.0,0.1968,0,1,1,1.25,1.0,0.04,33,1,0,1,0,46,146,0,0,32,34,0.0
