run_id,sim_time,round_number,row_type,entity_id,entity_state,x,y,z,vx,vy,vz,radius,opacity,color_r,color_g,color_b,selected,ai_enabled,ai_mode,human_override_active,paused,event_count,free_viruses,bound_viruses,injecting_viruses,endocytosed_viruses,released_viruses,open_receptors,occupied_receptors,used_receptors,marked_receptors,particles_count,loose_genomes_count,active_genomes_count,target_receptor_id,bound_receptor_id,bound_time,genome_length,genome_active,receptor_use_count,receptor_marked,extra
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,particle,23,burst_particle,0.0030475308589179915,4.707721529852591,-0.04690225159046469,0.16887004685535442,-0.06631597303376485,-0.09913312818329652,0.029059128265661795,0.7466789858719853,0.7639351495520702,0.6336268226326975,0.19926573290145544,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,,,life=0.6722595383832087
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,receptor,0,open,2.6366854375007085,-2.1203809523809523,2.222201278114056,,,,0.145,0.72,0.96,0.58,1.0,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,0,0,"normal=(0.6514,-0.5238,0.5490)"
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,receptor,1,open,-0.10977528172427657,-3.276952380952381,2.3739916765845828,,,,0.145,0.72,0.96,0.58,1.0,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,0,0,"normal=(-0.0271,-0.8095,0.5865)"
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,receptor,2,open,-3.703372865337056,0.5782857142857145,1.5286984833309232,,,,0.145,0.72,0.96,0.58,1.0,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,0,0,"normal=(-0.9149,0.1429,0.3776)"
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,receptor,3,open,-3.1763959868070146,-2.505904761904762,0.1313539464931682,,,,0.145,0.72,0.96,0.58,1.0,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,0,0,"normal=(-0.7847,-0.6190,0.0324)"
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,receptor,4,open,-0.47001499570916005,-1.734857142857143,-3.6270732826462257,,,,0.145,0.72,0.96,0.58,1.0,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,0,0,"normal=(-0.1161,-0.4286,-0.8960)"
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,receptor,5,open,-1.7590475118047737,1.3493333333333335,-3.386938943466355,,,,0.145,0.72,0.96,0.58,1.0,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,0,0,"normal=(-0.4345,0.3333,-0.8367)"
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,receptor,6,open,1.7137822134329286,0.19276190476190497,-3.6622530460078115,,,,0.145,0.72,0.96,0.58,1.0,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,0,0,"normal=(0.4234,0.0476,-0.9047)"
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,receptor,7,open,-0.9494767824000001,1.734857142857143,3.532006304292349,,,,0.145,0.72,0.96,0.58,1.0,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,0,0,"normal=(-0.2346,0.4286,0.8725)"
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,receptor,8,open,-3.1305132521575048,2.505904761904762,-0.5537437153858102,,,,0.145,0.72,0.96,0.58,1.0,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,0,0,"normal=(-0.7733,0.6190,-0.1368)"
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,receptor,9,open,3.6930232616562497,0.9638095238095241,1.348686172050375,,,,0.145,0.72,0.96,0.58,1.0,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,0,0,"normal=(0.9123,0.2381,0.3332)"
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,receptor,10,open,2.0081207134581187,-2.891428571428571,-1.9983483221167897,,,,0.145,0.72,0.96,0.58,1.0,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,0,0,"normal=(0.4961,-0.7143,-0.4937)"
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,receptor,11,open,0.20776971504949246,3.276952380952381,-2.3674287398945664,,,,0.145,0.72,0.96,0.58,1.0,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,0,0,"normal=(0.0513,0.8095,-0.5848)"
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,receptor,12,open,-1.2713086621762955,3.6624761904761907,1.1646228744407041,,,,0.145,0.72,0.96,0.58,1.0,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,0,0,"normal=(-0.3141,0.9048,0.2877)"
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,receptor,13,open,-3.466452232835602,-0.5782857142857141,-2.008879924266787,,,,0.145,0.72,0.96,0.58,1.0,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,0,0,"normal=(-0.8563,-0.1429,-0.4963)"
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,receptor,14,open,2.9094621347395146,2.1203809523809527,-1.8507616549131958,,,,0.145,0.72,1.0,0.45,0.1,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,0,1,"normal=(0.7187,0.5238,-0.4572)"
20260526-185455-sentence-script-virus-particles-with-spi-772194,0.0300,1,receptor,15,open,-1.104656177042225,-3.66247619047619,-1.3237472888423498,,,,0.145,0.72,0.96,0.58,1.0,,1,curious_probe,0,0,2,10,0,0,0,0,22,0,0,1,24,0,0,,,,,,0,0,"normal=(-0.2729,-0.9048,-0.3270)"
