run_id,frame,elapsed_seconds,round,paused,ai_enabled,ai_mode,simulation_mode_note,unfold_progress,fork_distance,left_fork_x,left_fork_y,left_fork_z,right_fork_x,right_fork_y,right_fork_z,replication_speed,unfold_speed,target_replication_speed,target_unfold_speed,chaos_level,attached_enzyme_count,active_particle_count,attachment_count,detachment_count,collision_count,transfer_count,mark_count,spill_count,enzyme0_x,enzyme0_y,enzyme0_z,enzyme0_attached,enzyme1_x,enzyme1_y,enzyme1_z,enzyme1_attached,completion_hold,ai_stagnation_seconds,left_fork_paused,right_fork_paused
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,731,13.542,1,1,1,constructive,constructive,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.86000,0.13500,0.00000,10,4,10,0,14,8,0,12,-0.58003,0.07663,0.52642,1,0.58003,0.51860,0.11588,1,0.00000,0.00000,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,745,13.800,1,1,1,constructive,constructive,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.86000,0.13500,0.00000,10,4,10,0,14,8,0,12,-0.58003,-0.26379,0.46156,1,0.58003,0.33268,0.41364,1,0.00000,0.00000,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,759,14.066,1,1,1,constructive,constructive,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.86000,0.13500,0.00000,10,6,10,0,19,10,0,16,-0.58003,-0.49263,0.19904,1,0.58003,-0.00017,0.53053,1,0.00000,0.00000,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,773,14.326,1,1,1,constructive,constructive,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.86000,0.13500,0.00000,10,5,10,0,19,11,0,16,-0.58003,-0.50933,-0.15032,1,0.58003,-0.33404,0.41176,1,0.00000,0.00000,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,787,14.587,1,1,1,constructive,constructive,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.86000,0.13500,0.00000,10,4,10,0,19,11,0,16,-0.58003,-0.30311,-0.43557,1,0.58003,-0.51889,0.10789,1,0.00000,0.00000,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,804,14.849,1,1,1,constructive,constructive,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.86000,0.13500,0.00000,10,7,10,0,19,12,0,20,-0.58003,0.11524,-0.51751,1,0.58003,-0.42787,-0.31216,1,0.00000,0.00000,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,822,15.108,1,1,1,constructive,constructive,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.86000,0.13500,0.00000,10,5,10,0,20,13,0,20,-0.58003,0.47234,-0.24002,1,0.58003,-0.02665,-0.52861,1,0.00000,0.00000,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,840,15.361,1,1,1,constructive,constructive,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.86000,0.13500,0.00000,10,2,10,0,20,16,0,20,-0.58003,0.48406,0.21453,1,0.58003,0.39638,-0.34997,1,0.00000,0.00000,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,854,15.612,1,1,1,constructive,constructive,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.86000,0.13500,0.00000,10,6,10,0,20,16,0,24,-0.58003,0.23439,0.47439,1,0.58003,0.52836,-0.01080,1,0.00000,0.00000,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,867,15.864,1,1,1,constructive,constructive,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.86000,0.13500,0.00000,10,6,10,0,22,16,0,24,-0.58003,-0.09936,0.51948,1,0.58003,0.42495,0.31360,1,0.00000,0.00000,1,0
